Крепление Kokido Classic-O K027BU (клипса);;;01.01.2021
Крепление Kokido Design-O K427BU (клипса);;;01.01.2021
Скребок ватерлинии Kokido Design-O K081B;;;01.01.2021
Скребок ватерлинии Kokido K077CB;;;01.01.2021
Скребок ватерлинии синий;;;01.01.2021
"Щетка ""Bestway"" для чистки стенок и дна бассейна (45 см)";;;01.01.2021
Щетка SHARK ASTRAL овальная для водного пылесоса ;;;01.01.2021
Щетка для ватерлинии ручная;;;01.01.2021
Щетка для дна Kokido Classic K108BU с боковым ворсом;2;1 560;01.01.2021
Щетка для дна Kokido Design-O K420BU зеленая;;;01.01.2021
Щетка для дна Kokido Evolution K300CS/PB треугольная;;;01.01.2021
Щетка для дна Kokido Revolution VD30CS/REV треугольная, вращающиеся кисти;1;1 690;01.01.2021
Щетка для подводного пылесоса с боковыми ворсинками Pool King ;;;01.01.2021
Щетка для подводного пылесса треугольная Pool King;;;01.01.2021
Щетка для стен 25 см зеленая Intex;;;01.01.2021
Щетка для стен Kokido Classic K085BU 25 см пластиковая;1;300;01.01.2021
Щетка для стен Kokido Classic K166BU 45 см пластиковая;;;01.01.2021
Щетка для стен Kokido K122CB/B;;;01.01.2021
Щетка для стен Kokido Revolution WB83CB/REV 46см гибкая;1;830;01.01.2021
Щетка для стен закругленная 41см INTEX;;;01.01.2021
Щетка треугольная SHARK ASTRAL для водного пылесоса;;;01.01.2021
Бассейны, запчасти к ним;;;01.01.2021
Бассейн надувной 61*22см Динозавры с надувным дном;;;01.01.2021
Бассейн надувной детский Звезды 122*25см, от 2 лет;;;01.01.2021
Бассейн надувной детский Маленькая звезда 102*99*13см;;;01.01.2021
Запчасти к бассейнам;;;01.01.2021
Пробка для сливного клапана бассейнов ;;;01.01.2021
Каркасные круглые;;;01.01.2021
"Бассейн каркасный круглый ""Metal Frame"" Intex 244*51 синий (1828л)";;;01.01.2021
"Бассейн каркасный круглый ""Metal Frame"" Intex 305*76 см синий (4485л)";;;01.01.2021
"Бассейн каркасный круглый ""Prism Frame"" Intex 305*76см серый (4485л)";;;01.01.2021
"Бассейн каркасный круглый ""Prism Frame"" Intex 366*99см серый + фильтр-насос + лестница  (8592л)";;;01.01.2021
"Бассейн каркасный круглый ""Steel Pro Max"" Bestway 305*100см синий + фильтр-насос (6148л)";;;01.01.2021
"Бассейн каркасный круглый ""Steel Pro Max"" Bestway 457*122см синий (16015л)";;;01.01.2021
"Бассейн каркасный круглый ""Steel Pro"" Bestway 244*76см синий + фильтр-насос (2930л)";;;01.01.2021
"Бассейн каркасный круглый ""Steel Pro"" Bestway 427*122см серый+ фильтр+тент+лестница";;;01.01.2021
"Бассейн каркасный круглый ""Steel Pro"" Bestway 427*132см синий + лестница (16501)";;;01.01.2021
Бассейн каркасный круглый Bestway 366х122см, синий, фильтр-насос +лестница (10250л);;;01.01.2021
Бассейн каркасный круглый Bestway 366х133см, синий, фильтр-насос +лестница (11440л);;;01.01.2021
Каркасные прямоугольные;;;01.01.2021
"Бассейн каркасный прямоугольный ""Power Steel"" Bestway 412*201*122 серый+фильтр+лестница (8124л)";;;01.01.2021
"Бассейн каркасный прямоугольный ""Rectangular Frame"" Intex 450*220*84 синий (7127л)";;;01.01.2021
"Надувной детский бассейн ""Подводный мир"", 152х30см";;;01.01.2021
Надувной детский бассейн, 122х25см;;;01.01.2021
С надувным кольцом;;;01.01.2021
"Бассейн с надувным кольцом круглый ""Easy Set"" Intex 244*76 см синий (2419л)";;;01.01.2021
